"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"09/19/2020",810,85,609,1078,3822,606,0,83,50,3573,2167,109,288,2524,1076,965,361,978,0,32,682,599,587,914,655,1474,292,410,323,59,461,162,986,1274,377,951,1237,257,714,0,922,369,942,2879,1077,4,953,597,204,2283,34
"09/20/2020",747,93,470,563,2855,501,0,117,53,2521,1134,77,244,1402,746,606,2419,436,936,43,412,359,0,1296,277,1306,136,286,385,27,453,67,862,1300,351,762,1003,202,631,0,468,252,2075,5704,920,5,856,349,173,1665,91
"09/21/2020",877,70,230,641,3928,542,497,101,23,1685,1184,56,410,1477,522,597,317,375,243,29,412,256,1575,925,192,1367,130,305,232,5,392,104,573,808,286,856,1101,194,826,312,416,173,895,21791,622,4,627,182,119,1271,72
"09/22/2020",657,44,595,617,2969,654,136,94,43,2470,955,63,446,1533,599,611,1026,814,752,40,344,173,695,480,465,1075,271,397,262,38,426,107,754,1193,264,685,1164,318,784,112,2665,320,739,6902,650,2,872,463,213,1672,72
"09/23/2020",1038,68,438,982,3371,616,155,69,29,2590,1867,167,396,1850,711,1253,329,784,431,24,385,543,902,678,552,1593,212,493,509,17,408,197,665,952,473,903,1089,190,859,133,897,445,1650,1271,877,1,580,509,121,1762,153
"09/24/2020",2366,128,568,1086,3080,548,157,117,56,2541,1537,90,491,2256,899,1120,1136,643,577,44,503,481,1078,912,737,1356,330,453,390,37,228,237,955,1687,470,991,1083,362,845,134,1021,463,892,4473,1198,2,902,536,204,2392,136
"09/25/2020",976,122,515,897,4144,709,115,138,57,2847,816,112,523,2773,1171,1040,388,908,706,20,559,488,1040,1177,722,1895,322,431,556,41,884,263,908,6143,434,1150,1276,449,833,-130,1195,457,1764,3729,1411,7,941,988,243,2504,115
"09/26/2020",726,113,459,809,3791,584,0,71,52,2795,1359,127,539,2441,1142,877,4,970,0,24,613,569,996,1470,645,2050,343,434,602,36,750,205,1005,1730,495,1115,990,267,919,0,1371,579,1437,3309,1017,8,975,604,205,2817,45
"09/27/2020",639,114,411,487,2439,569,0,104,35,1882,812,98,205,1600,901,716,1491,455,923,29,431,592,0,1075,182,1520,200,467,373,51,698,152,866,1289,344,800,823,239,811,0,614,408,2104,4482,1068,3,736,439,184,2217,168
"09/28/2020",746,116,273,807,2821,411,560,129,14,738,596,87,422,1709,872,633,335,448,240,13,477,430,1329,904,190,1239,306,515,463,36,559,141,834,877,259,993,861,174,850,243,568,197,737,2499,827,3,449,369,165,1726,121
"09/29/2020",1234,125,674,706,2943,535,182,142,36,3266,1025,87,511,1366,744,978,980,917,533,37,431,512,1118,809,589,266,311,466,404,25,456,172,1189,910,418,1105,1025,297,1586,132,1179,259,879,6088,694,4,923,404,177,2367,67
"09/30/2020",1188,102,323,942,3461,511,221,82,26,1948,1720,120,614,2272,953,1012,264,984,409,52,414,532,1194,687,552,184,347,520,385,33,712,278,1000,1496,445,1080,980,218,919,192,308,392,1528,5807,906,3,755,480,157,2319,127
"10/01/2020",955,124,705,1124,3090,682,192,174,32,2628,1333,105,513,2164,1157,1181,1193,888,551,39,785,754,998,1066,696,191,429,621,430,51,614,226,1382,2266,372,1327,1170,353,945,166,381,747,1293,3746,1008,3,450,594,176,2887,135
"10/02/2020",1675,125,551,958,3808,680,555,150,65,2660,1275,86,677,2456,1464,1054,229,999,817,38,712,761,984,1166,672,4075,355,792,772,217,740,339,1598,1786,476,1495,1190,301,1194,162,862,386,971,5789,1107,13,966,694,281,2745,131
"10/03/2020",779,144,636,746,3508,657,0,188,50,2787,1535,133,464,2442,1419,819,35,1274,0,18,597,672,1275,1421,609,1649,501,426,526,63,947,296,1731,2202,440,1157,1189,348,0,0,1706,464,1192,5183,1068,10,1116,609,174,2892,151
"10/04/2020",536,188,355,488,3192,521,0,118,46,1868,756,70,262,1453,1087,443,1181,616,893,35,471,644,0,1039,321,1449,279,404,392,48,626,181,1222,610,416,941,0,259,1888,0,691,432,1615,2791,1393,7,1067,455,154,1865,139
"10/05/2020",759,208,316,417,2794,461,823,120,28,1415,789,50,458,1853,830,516,205,541,218,25,501,515,1455,973,215,1295,212,452,337,0,511,155,933,2258,312,1057,1234,279,975,343,577,180,2489,4185,1105,32,687,402,114,1696,125
"10/06/2020",1009,139,864,641,2695,654,121,103,105,2251,936,83,660,1617,970,545,1197,1036,532,21,413,495,1151,941,975,953,500,498,479,86,629,315,1393,1504,502,1335,1364,290,1123,177,811,278,1676,5482,716,4,625,387,193,2020,141
"10/07/2020",600,126,604,809,3726,731,123,84,0,2582,1492,108,671,2630,1281,1288,102,2393,1053,38,460,535,1215,911,563,1093,716,639,431,0,508,425,1360,1711,493,1424,1006,295,1303,180,735,1030,2080,5191,1007,6,509,545,208,2319,129
"10/08/2020",1598,127,863,1265,3342,863,384,132,113,3306,1265,101,673,3094,1450,1564,1689,868,524,35,761,444,1401,1271,578,1567,614,663,480,147,1298,384,1836,2428,527,1539,1212,482,1421,269,1050,535,1992,4167,1501,11,1844,710,183,3132,193
"10/09/2020",1214,177,683,1167,3806,834,290,145,78,2908,1625,154,662,3117,1816,1224,270,1001,257,27,734,765,1323,1390,862,2016,722,0,766,92,865,485,1592,2034,655,1840,1524,410,1381,249,921,774,1556,4481,1343,8,1114,642,374,2988,243
"10/10/2020",801,249,894,908,3334,1023,0,171,75,0,1237,71,613,2905,1918,1161,83,989,0,30,636,639,1637,1516,957,4679,718,1828,806,122,864,481,1447,2321,588,1356,1533,398,1468,0,945,732,1646,3831,1354,11,1256,475,220,2742,120
"10/11/2020",716,255,597,613,2780,819,0,132,66,5570,1140,101,365,2727,1570,901,1625,847,1181,25,562,563,0,1440,294,256,585,495,380,51,751,261,1143,1719,637,1291,766,331,984,0,785,617,2068,2553,1200,11,811,0,205,2676,156
"10/12/2020",1100,191,475,654,2723,576,1339,159,38,1533,902,42,597,2740,1574,510,320,638,60,32,504,760,1943,1171,296,216,423,457,569,65,469,379,1029,1276,472,1430,797,212,1038,0,649,361,2965,2460,988,8,854,0,149,1956,191
"10/13/2020",882,151,684,680,3397,1048,320,105,46,2725,993,61,584,2853,1549,969,1203,761,682,28,482,749,1466,1135,713,205,486,704,487,71,988,351,1393,1734,508,1447,1309,313,1832,666,828,414,1147,5799,987,10,1235,1740,276,3279,162
"10/14/2020",1224,142,901,1079,3894,692,164,71,64,2883,1297,99,645,2866,1165,1482,265,1322,320,36,575,580,1593,1369,876,4435,599,924,479,70,938,577,1232,1926,703,2039,1122,380,1284,204,926,876,1709,6023,1144,3,805,734,266,3107,213
"10/15/2020",1225,153,1113,1278,2944,1141,167,95,34,3356,1640,90,718,4014,1943,1152,1522,1182,743,18,630,587,2458,1163,1322,1868,723,961,655,77,971,668,1460,2532,706,2178,1221,365,1551,274,1297,797,2289,4927,1498,14,1331,676,261,3747,198
"10/16/2020",1312,226,738,1015,3105,1312,802,164,89,3449,1609,89,1094,5106,2283,1690,237,1311,774,29,781,767,2206,2290,1116,2261,662,1286,716,88,810,812,1707,2684,864,2148,1472,410,1679,253,1147,793,666,6008,1496,12,1183,709,502,3861,290
"10/17/2020",980,211,973,883,2361,1139,0,218,79,4044,1534,96,878,3629,2482,952,118,1291,0,49,798,584,1986,1694,751,2185,630,618,967,111,934,573,1784,2102,744,2234,1160,380,1503,0,961,806,2646,5065,1340,11,1114,777,219,0,151
"10/18/2020",865,220,690,644,2078,933,0,151,36,2539,1174,82,510,4245,1605,636,1586,810,1143,25,530,730,0,1722,0,1847,596,736,609,0,909,445,1390,2303,717,1562,831,217,1086,0,776,658,2605,5620,1097,11,900,530,276,0,209
"10/19/2020",1076,202,748,531,3953,1072,1191,103,25,1707,752,37,698,3113,1584,726,456,640,201,24,497,828,3018,1627,586,1482,569,749,582,121,1558,514,998,1144,659,1837,774,262,1627,656,619,567,3317,3148,1168,9,690,460,212,16956,286
"10/20/2020",1132,209,1040,844,4101,1208,434,129,50,3662,1128,88,873,3713,1498,1142,1357,1297,699,26,590,976,1871,1092,730,1412,703,592,656,82,988,594,1201,1578,1029,2015,1475,342,1589,302,884,621,1508,5389,1081,10,926,489,227,4686,215
"10/21/2020",1395,211,975,1155,3193,1267,416,50,53,2144,1312,77,987,4342,1732,1048,416,1452,718,37,492,702,1878,1060,801,1426,619,899,565,89,1030,819,2026,1842,499,2366,1307,307,1363,474,864,587,2292,6847,1363,15,1018,724,215,4363,322
"10/22/2020",3832,233,994,1202,6425,1373,502,153,39,5558,1785,102,950,4941,2850,1483,1441,1303,772,39,743,1049,2204,1561,958,1935,928,977,789,77,1162,662,1628,2400,887,2425,1628,0,2068,471,1128,973,2046,2707,1543,16,1332,651,322,3632,271
"10/23/2020",2130,278,976,1337,5435,1350,679,159,72,3689,2224,129,1073,5000,2467,1643,428,1449,699,31,712,1070,2046,1711,795,1983,863,1225,812,118,1045,791,1637,2716,887,2518,1373,905,2254,524,1064,1185,3606,7280,1960,29,1180,820,336,4643,426
"10/24/2020",1264,372,890,1183,4885,1828,0,160,97,4471,1846,89,1021,6161,2741,1460,72,1732,0,42,796,1203,3490,2259,1212,2636,639,705,1147,126,1909,872,2061,2584,935,2858,1829,391,1715,0,792,939,2574,9802,1608,27,1088,919,323,4673,260
"10/25/2020",892,523,1391,797,2912,1689,0,114,61,2385,1318,119,650,4057,2153,1402,1824,1462,972,63,792,1077,0,1680,0,1967,738,582,891,90,1129,823,1632,1807,845,2309,1051,362,1343,0,1337,1062,3500,3645,1765,30,999,649,191,3778,236
"10/26/2020",1215,348,801,612,3842,2211,2047,207,45,3377,958,37,697,4729,1974,960,403,924,227,52,565,1212,4057,1570,675,1718,621,702,475,69,1216,723,1191,1643,522,2116,663,335,2535,906,823,538,2279,6632,1201,10,904,587,317,3011,436
"10/27/2020",1329,1442,1158,952,4450,1433,538,81,94,4298,1491,64,882,4000,1983,1365,2729,1771,922,58,897,1260,2675,2164,854,1616,845,877,730,133,1647,583,1991,2141,889,2509,1010,372,2272,421,1078,989,1908,6661,1145,30,1134,527,486,5501,329
"10/28/2020",1508,357,1043,961,4388,1475,490,143,67,4115,1653,61,862,6110,2548,2072,324,1857,452,77,684,1181,3590,1908,1000,2189,620,1169,571,111,1666,657,2031,2253,777,2607,743,420,2332,499,912,1270,2446,7253,1575,7,1345,716,357,4130,340
"10/29/2020",1338,367,1315,1072,4372,1806,1319,161,101,4198,1823,77,961,6362,3618,2315,2753,1811,394,80,962,1346,4109,2867,970,388,887,1605,1073,127,1550,1078,2499,2885,1223,3590,1041,565,2235,368,1100,1000,2660,6956,1837,21,1429,814,399,5145,361
"10/30/2020",1819,386,1565,1162,4380,2412,761,198,70,5592,1377,92,1064,8489,3163,2772,462,1937,433,100,927,1582,3345,3154,749,5422,1063,1495,1232,116,1976,1005,2255,2809,1353,3845,1302,595,2499,562,1003,1559,2608,5977,2292,14,1456,1016,526,5357,521
"10/31/2020",1681,447,1901,1316,4115,2924,0,200,122,2331,2565,68,798,7899,3465,2788,43,1977,0,96,967,1430,4018,3007,824,2863,885,1087,977,200,1363,581,2112,2805,1433,2915,1267,533,2205,0,1018,1433,1184,7969,1724,24,1551,928,468,5808,270
"11/01/2020",845,350,1527,867,3735,2560,0,175,103,4865,1192,83,480,6980,2750,2464,3347,1423,1071,49,864,1131,0,2200,340,2333,694,934,716,130,1743,742,2192,2057,1127,3303,1349,508,1625,0,1411,1332,754,4516,1854,17,1202,814,423,3553,425
"11/02/2020",1234,352,666,584,4533,2237,2651,185,69,4651,939,77,757,6222,3077,1542,448,1028,275,87,850,842,6920,2948,365,2898,757,954,637,106,1368,872,1633,1336,972,2909,1084,549,2827,1246,894,526,3161,6764,1196,23,1026,1039,355,3505,444
"11/03/2020",1812,391,1679,878,4990,2562,985,115,86,4637,31605,87,1179,6516,2881,1810,2692,1709,1153,127,771,1036,3437,3476,644,2218,907,1440,911,128,1828,1136,2321,2349,1172,4229,1331,482,2831,423,1035,1004,1770,8786,1669,18,1261,657,358,6104,454
"11/04/2020",1423,412,815,1293,5519,2928,530,108,77,4423,2611,155,1290,7538,3698,2888,499,1630,375,146,1000,1714,4397,3827,766,2812,796,1828,1068,115,2432,1011,2126,2425,1114,4071,1246,589,2809,579,918,937,3445,9861,2110,30,1157,1469,392,6256,423
"11/05/2020",1601,314,2135,1548,5934,3369,1687,219,81,6257,2488,99,1265,9935,4412,5277,4837,2268,681,189,1198,1862,6103,3942,1612,3789,1013,2124,1267,245,1962,859,2997,2859,1536,4961,2101,790,2815,628,769,1360,1969,9949,2807,36,1366,1070,559,6284,365
"11/06/2020",1603,525,1996,1870,6357,3463,1065,282,110,5245,2802,119,1330,11802,4647,3375,786,2228,870,184,1541,2113,4246,5442,967,4362,979,2681,1562,204,2161,1284,3209,2908,1765,5008,1878,769,3648,630,1233,1488,1373,8485,2987,23,1568,1691,540,6411,996
"11/07/2020",1387,607,2620,1598,6151,3498,0,223,99,4452,2610,128,1403,12438,4899,4388,220,2156,0,156,1410,2302,6564,4647,1031,4537,1001,1702,1824,229,3202,1277,3587,2676,1602,5549,0,979,3147,0,1870,1337,5071,7752,2956,21,2103,1770,522,7521,192
"11/08/2020",1147,520,1880,1038,3351,3017,0,345,110,6820,1024,128,649,10009,4652,4524,13886,1177,1266,93,1081,1823,0,5908,804,3928,731,1574,1276,247,2013,1210,3428,2094,1101,4541,4507,861,2521,0,946,1428,3636,6053,2386,45,1302,1320,795,4407,713
"11/09/2020",1858,474,435,945,8584,3553,3307,305,86,3924,1272,63,1266,10573,4135,5132,-8426,1729,391,195,1375,1328,9235,3926,516,3275,374,1582,960,211,2058,1408,3144,1521,1153,4706,2197,707,4710,1629,703,907,5919,7831,2247,23,1302,1239,821,4470,700
"11/10/2020",39,532,3434,1424,8135,3890,1521,204,86,4353,4319,310,1201,12623,4829,3917,372,2079,6350,172,1338,2154,6944,4893,933,4576,1098,2182,1322,220,3777,1258,3965,2582,894,6508,1702,754,4322,789,1347,1023,1979,11412,2517,47,1435,1441,91,7432,1232
"11/11/2020",2075,499,2030,1962,6143,3975,1788,230,206,5838,2242,117,1693,12657,5036,4626,5314,2698,0,142,1714,2660,6620,4889,1256,3944,919,2209,1107,233,3065,1487,4820,3119,1021,5874,2177,861,3969,978,1257,1362,3632,12284,2335,73,1594,0,885,7537,132
"11/12/2020",2000,481,1399,1809,8541,5197,1158,204,128,5607,2982,97,1158,12702,6591,4951,322,2336,3829,193,1477,2648,7311,7225,1271,5048,961,2611,1469,323,3491,1742,4797,2893,1800,7101,2357,1109,6140,988,1495,2020,3344,9489,3919,116,1521,3345,696,8223,1105
"11/13/2020",2980,593,3015,2312,9450,6439,2746,470,159,6933,2994,118,1519,15415,5600,5484,6265,3164,3450,244,1869,2906,9179,5544,1305,4404,1213,2369,1857,462,3397,1230,5401,1779,1429,8071,2667,1058,5833,765,1611,1611,3733,12097,2150,92,1235,2142,742,8451,862
"11/14/2020",2226,748,3476,1848,9501,5196,0,379,148,4544,3035,107,1519,11028,8322,4667,18,3293,0,152,2321,3047,7430,8689,1370,9646,1642,1912,2269,384,4353,1165,5388,3885,2270,7715,2847,1081,4234,0,1913,1855,4662,9267,5352,100,1537,2233,1153,5581,540
"11/15/2020",1979,661,2383,874,9028,4183,0,408,163,10105,2084,0,928,10631,6710,2759,41,1449,2532,153,1840,2133,0,7553,969,779,1272,1327,1177,361,4538,1030,3649,3117,924,7853,3923,862,4474,0,1493,1199,5817,7732,2667,46,1161,2309,867,6320,613
"11/16/2020",1410,585,1476,1308,9595,4296,4639,397,87,4663,1247,94,1099,11632,5147,3283,7123,1511,544,173,1726,2164,13162,7437,589,4174,869,3440,1916,358,2219,1253,3490,1972,1089,7268,2729,766,6539,2394,1110,897,7951,9010,1971,119,2677,1492,801,4638,699
"11/17/2020",1616,642,2984,1554,10595,4331,1702,352,245,7459,4335,52,1781,12601,5463,3601,607,2911,2628,246,2149,2525,7886,5931,905,5436,1371,2204,1696,279,4026,2105,5088,3288,1082,7079,1551,924,5722,605,1283,1006,1841,10538,3178,96,2125,2589,864,7593,1260
"11/18/2020",2638,547,3206,1715,11755,4650,2042,203,156,7925,3161,69,1310,8922,6015,4320,5422,2745,2229,156,2018,2904,6218,5094,1593,4627,1184,2812,1664,447,4043,2892,5294,3367,1263,6385,3017,1099,6468,1383,1547,1387,4472,12923,3071,57,2071,1303,942,8510,822
"11/19/2020",2424,493,4123,2238,13134,6107,2353,398,213,9085,3424,107,1543,14612,7281,4054,465,3637,2052,215,2910,2682,7983,7863,1395,4365,1236,2663,2417,529,4182,3665,5310,4296,1382,7787,2915,1204,6869,1040,1713,1071,2887,13581,3968,149,1954,1987,1133,7448,894
"11/20/2020",2463,463,4471,2061,12576,5765,2088,663,130,9085,3435,118,1786,13012,6808,4345,5680,3816,4743,224,2353,2399,10140,6794,1638,4771,1475,2381,1838,527,3626,2982,5468,3688,1404,8808,2921,1302,7010,1050,2001,1328,3444,12954,4588,149,2544,2132,1081,7077,960
"11/21/2020",2335,680,3638,1905,15685,6113,0,505,153,8409,6213,162,1070,11891,6872,3286,205,3702,0,165,2885,3206,7840,6252,1972,4907,1249,1368,2019,493,4669,2342,5973,3415,1524,7863,3663,1493,5684,0,1857,1144,4355,11828,3395,87,2348,1717,1118,7029,281
"11/22/2020",1798,549,4331,1352,9089,3921,0,487,190,6587,2328,122,819,10012,6174,2461,19,2192,3483,236,2168,2695,0,7205,779,4291,1138,1032,2155,322,3968,2456,5391,4514,1143,8133,3406,1502,6370,0,1277,851,4589,9105,3197,83,2117,0,880,4019,759
"11/23/2020",1574,500,2659,1017,13695,3689,5271,403,139,6331,1924,113,1437,8322,5556,3128,7707,2132,968,185,1658,1773,11943,6343,699,3533,701,1860,2339,445,3581,2252,5906,2419,714,11885,3544,1163,6800,2572,1257,783,4074,8523,2244,85,3242,6277,636,3455,1262
"11/24/2020",2785,590,4544,2122,16990,4150,540,453,119,8555,3676,60,1640,9469,5625,2992,337,2606,3243,255,1667,2576,6782,6416,665,3967,1123,0,2871,362,4275,2099,4881,3100,1004,8536,2736,1000,6355,851,1678,1011,1366,19481,2701,48,2544,3482,969,6748,528
"11/25/2020",2453,680,3982,1965,15731,4191,1872,331,107,8376,3177,108,1773,11378,5983,3502,5163,3301,1235,228,2697,3395,4687,6387,1092,4390,1061,1761,3142,402,4042,1855,6265,4212,1077,10903,3732,1170,6952,893,1675,1283,2056,15178,1781,65,2718,2887,967,5997,802
"11/26/2020",2639,559,3474,2348,10862,6053,0,584,220,0,3608,117,0,12022,6373,2037,355,0,0,238,2319,0,0,0,1746,4494,1117,5270,2541,0,4473,1694,6933,0,964,0,0,0,7177,0,0,0,4404,6093,0,0,2600,0,1130,5666,0
"11/27/2020",917,674,4314,1052,13774,4270,3429,591,201,17344,3009,125,1997,7574,5643,1733,4764,5616,4964,0,2378,4658,17368,5698,1005,3169,114,1114,1536,477,4095,2056,8176,8008,790,17065,3225,2329,8596,1637,2215,2138,4340,4439,6142,178,1544,4261,866,1422,1012
"11/28/2020",2119,668,4136,1349,15048,4330,0,500,101,6277,3038,76,1160,7873,4471,2123,89,2427,0,23,1590,3217,8351,9022,1553,2430,1049,1257,2912,702,3080,2130,6063,3444,703,6895,6257,1674,6707,0,1791,819,6750,6334,2043,28,3173,2467,799,5473,155
"11/29/2020",2236,621,3221,1221,14831,3489,0,581,410,7363,1952,56,824,7178,4304,1511,0,2743,1643,220,1999,2495,0,8946,1845,3314,956,1143,1298,491,4561,1435,6723,3820,723,7729,1721,1613,4999,0,1218,801,3052,11541,1722,67,2325,2066,1152,4055,561
"11/30/2020",2295,511,822,1112,14809,4133,4714,403,104,6659,2047,85,1214,6190,5665,1941,4415,2116,169,249,1923,1168,10790,5794,1485,3797,397,1941,1644,514,3190,1678,6819,2734,594,6631,2200,1312,5891,2769,1358,564,7975,13634,1897,72,1893,2319,845,2676,816
